
vinc,vict|胜，征服
informal-sector,ɪn'fɔːm(ə)l-'sektə,n.非正式部门
smog-forming,smɒg-'fɔːmɪŋ,adj.形成烟雾的
cuneiform,'kjuːnɪfɔːm,adj. 楔形的；楔形文字的 n. 楔形文字；楔形骨
cruciform,'kruːsɪfɔːm,adj. 十字形的 n. 十字形
spongiform,'spʌndʒɪfɔːm,adj. 海绵状的(海绵组织状的)
half-formed,hɑːf-fɔ:md,adj.半成型的
short-form,ʃɔːt-fɔːm,n.简易格式
piriform,'pɪrəfɔːm,梨形的
inform,ɪn'fɔːm,v. 通知；告诉；使熟悉；告发；赋特征于
informed,ɪn'fɔːmd,adj. 见多识广的；消息灵通的；有学问的 v. 通知，告诉（动词inform的过去式和过去分词）
uninformed,ˌʌnɪn'fɔːmd,adj. 未得到通知的；知识贫乏的
informant,ɪn'fɔːmənt,n. 通知者；密告者；为语言研究提供资料的人
informer,ɪn'fɔːmə(r),n. 告发者；告密者
information,ˌɪnfə'meɪʃn,n. 信息；情报；资料；通知
informative,ɪn'fɔːmətɪv,adj. 提供消息的；情报的；见闻广博的
informational,ˌɪnfə'meɪʃənl,adj. 信息的；介绍情况的
bioinformatician,biːəʊɪn'fɔːmətɪʃn,生物信息学者
disinformation,ˌdɪsˌɪnfə'meɪʃn,n. 故意的假情报；虚假信息
well-informed,'welɪnf'ɔːmd,adj. 消息灵通的；熟悉的；博识的；见闻广博的
misinform,ˌmɪsɪn'fɔːm,vt.  告诉 ... 错误的消息
misinformed,ˌmɪsɪn'fɔːm,vt.  告诉 ... 错误的消息
misinformation,ˌmɪsɪnfə'meɪʃn,n. 错误信息
informing,ɪn'fɔːmɪŋ,n. 启发性的演说 动词inform的现在分词形式.
information-based,ɪnfə'meɪʃnb'eɪst,信息化
information-gathering,ɪnfə'meɪʃ(ə)n-'gæð(ə)rɪŋ,n.信息收（搜）集；情报收集
uninformative,ˌʌnɪn'fɔːmətɪv,adj. 不提供信息(或资料)的；不增进知识的；不详细的
informatics,ˌɪnfə'mætɪks,n. (复)信息学；信息科学；资讯学
information-rich,ɪnfə'meɪʃ(ə)n-rɪtʃ,adj.信息丰富的
information-age,ɪnfə'meɪʃ(ə)n-eɪdʒ,n.信息时代
bioinformatics,biːəʊɪn'fɔːmətɪks,n. 生物信息学
better-informed,'betə-ɪn'fɔːmd,adj.消息灵通的，更明智的
information-sharing,ɪnfə'meɪʃnʃ'eərɪŋ,信息共享
informed-consent,ɪn'fɔːmd-kən'sent,n.知情同意，知会同意；知后同意
best-informed,best-ɪn'fɔːmd,adj.消息灵通的
informativeness,ɪn'fɔːmətɪv,adj. 提供消息的；情报的；见闻广博的
information-processing,ɪnfə'meɪʃnpr'əsesɪŋ,信息加工
information-technology,ɪnfə'meɪʃntekn'ɒlədʒɪ,n. 信息技术
ill-informed,ɪl-ɪn'fɔːmd,adj. 消息不灵通的；所知不多的
perform,pə'fɔːm,v. 执行；履行；表演；运转；举行
performance,pə'fɔːməns,n. 表演；实行；表现；履行；性能；本事；业绩
performative,pə'fɔːmətɪv,adj. 述行的 n. 述行语；述行成分
performer,pə'fɔːmə(r),n. 表演者；执行者
performing,pə'fɔːmɪŋ,adj. 表演的；履行的 动词perform的现在分词形式.
preformed,'priː'fɔːmd,adj. 预成型的；预制成的 动词preform的过去式和过去分词形式.
outperform,ˌaʊtpə'fɔːm,v. 优于；超额完成；过度执行
high-performance,haɪ'pɚ'fɔrməns,adj. 高性能的；高效能的
high-performing,haɪ-pə'fɔːmɪŋ,n.高绩效；高性能
performance-enhancing,pə'fɔːm(ə)ns-ɪn'hɑːnsɪŋ,adj. 提高成绩的
performance-based,pə'fɔːmənsb'eɪst,基于性能
best-performing,[best-pə'fɔːmɪŋ,n.表现最好的
performance-oriented,pə'fɔːm(ə)ns-'orɪɛntɪd,以绩效为导向；绩效导向；绩效型
performance-related,pə'fɔːm(ə)ns-rɪ'leɪtɪd,adj. 绩效的
pay-for-performance,peɪ-fɔ:(r)-pə'fɔːm(ə)ns,adj. 按绩效付酬的
performativity,pə'fɔːmətɪviti,n.表演性
underperforming,ˌʌndəpə'fɔːm,vi. 表现不佳；工作不如预期(或同行) vt. 运作差；表演
underperformance,ˌʌndəpə'fɔːm,vi. 表现不佳；工作不如预期(或同行) vt. 运作差；表演
non-performing,nʌn-pə'fɔːmɪŋ,adj.不履约
worst-performing,wə:st-pə'fɔːmɪŋ,adj.表现最差的
pre-performance,priː-pə'fɔːm(ə)ns,n.性能；绩效；表演；执行；表 现
nonperformance,ˌnɒnpə'fɔːməns,n. 不履行；不实行；不实施
post-performance,pəust-pə'fɔːm(ə)ns,n.岗位绩效
poor-performing,pʊə-pə'fɔːmɪŋ,adj.劣质的
low-performing,ləʊ-pə'fɔːmɪŋ,adj.薄弱的；低效率的
top-performing,tɒp-pə'fɔːmɪŋ,adj .表现最好的；顶级表演的
formula,'fɔːmjələ,n. 配方；公式；规则；代乳品 adj. 方程式的；（赛车的）级的
formulate,'fɔːmjuleɪt,v. 用公式表示；系统地阐述；规划；制订
formulation,ˌfɔːmju'leɪʃn,n. 公式化；规划；构想；配方
formulated,'fɔːmjuleɪt,v. 用公式表示；系统地阐述；规划；制订
formulaic,ˌfɔːmju'leɪɪk,adj. 公式的；俗套的；刻板的
reformulate,ˌriː'fɔːmjuleɪt,vt. 再形成
reformulated,riːˈfɔːmjʊˌleɪtid,adj.再阐述
reformulation,ˌriːˌfɔːmju'leɪʃn,n. 再形成
formulary,'fɔːmjʊlərɪ,n. 公式集；处方；套话 adj. 规定的；公式的；药方的
formula-fed,'fɔːmjʊlə-fed,n.配制饲料 ； 配合饲 料
format,'fɔːmæt,n. 版式；设计 vt. 使格式化；安排
reformat,ˌriː'fɔːmæt,vt. 重定格式；重新格式化
formatting,'fɔːmætɪŋ,n. 格式化 动词fromat的现在分词形式.
large-format,lɑːdʒ-'fɔːmæt,n.大篇幅
platform,'plætfɔːm,n. 月台；讲台；平台；站台；(政党的)政纲
cross-platform,krɒs-'plætfɔːm,交叉平台
transform,træns'fɔːm,vt. 改变；转换 vi. 改变；变形；变态
transformation,ˌtrænsfə'meɪʃn,n. 转型；转化；改造
transformative,ˌtræns'fɔːmətɪv,adj. 起改造作用的；有改革能力的
transformer,træns'fɔːmə(r),n. 变压器
transformational,ˌtrænsfə'meɪʃənl,adj. 改变的；转化的
transformed,træns'fɔːm,vt. 改变；转换 vi. 改变；变形；变态
log-transformed,lɒg-træns'fɔːmd,adj.对数变换的
untransformed,ʌn’træns'fɔːm,adj.未改变的
former,'fɔːmə(r),adj. 前者的；前任的；以前的 n. 创造者；学校某一年级的学生
formerly,'fɔːməli,adv. 以前；从前
uniform,'juːnɪfɔːm,n. 制服 adj. 一致的；统一的
uniformed,'juːnɪfɔːmd,adj. 穿军服的；穿制服的 动词uniform的过去式和过去分词形式.
uniformity,ˌjuːnɪ'fɔːməti,n. 一致；同样
uniformly,'juːnɪfɔːmli,adv. 一律地；均匀地；无变化地
uniformitarian,ˌjuːnɪˌfɔːmɪ'teərɪən,adj. 天律不变论的；均一的 n. 天律不变论者
nonuniform,'nɒn'juːnɪfɔːm,adj. 不均匀的；不一致的；不等的
reform,rɪ'fɔːm,n. 改革；改良 v. 改革；革新；改造
reformer,rɪ'fɔːmə(r),n. 改革家；改革运动者
reformed,rɪ'fɔːmd,adj. 改革过的；新教的；在行为和性格上改进的；改革派的 动词reform的过去式和过去分词.
reformist,rɪ'fɔːmɪst,adj. 改革主义的 n. 改革主义者；改革者
reforming,rɪ'fɔːmɪŋ,n. 重整 动词reform的现在分词形式.
reformulate,ˌriː'fɔːmjuleɪt,vt. 再形成
reformation,ˌrefə'meɪʃn,n. 改造；变革 Reformation. n. (十六世纪欧洲的)宗教改革运动
reform-minded,rɪ'fɔːmm'aɪndɪd,adj. 具有改革头脑
counter-reformation,['kauntə-refə'meɪʃ(ə)n,反宗教改革运动
pro-reform,p'rəʊrɪf'ɔːm,adj. 支持改革的
unreformed,ˌʌnrɪ'fɔːmd,adj. 未改革的；未经宗教改革的
reformism,rɪ'fɔːmɪzm,n. 改良主义；改革主义
reformatory,rɪ'fɔːmətri,n. 少年管教所 adj. 改革的；革新的；感化的
welfare-reform,'welfeə-rɪ'fɔːm,n.福利改革
health-reform,'helθɪ-rɪ'fɔːm,n.卫生改革；医疗改革
conform,kən'fɔːm,v. 使一致；遵从
conformity,kən'fɔːmɪtɪ,n. 一致；符合；遵守
conformation,'kɒnfɔː'meɪʃən,n. 构造；形态；组成
conformist,kən'fɔːmɪst,n. 遵奉者 adj. 因循守旧的
nonconformity,ˌnɒnkən'fɔːmɪti,n. 不墨守成规
nonconformist,ˌnɒnkən'fɔːmɪst,adj. 不墨守成规的 n. 不墨守成规的人 Nonconformist. adj. 不信奉英国国教的 n. 不信奉英国国教的人
conformance,kən'fɔːməns,n. 顺应；一致 等同于conformity.
conformism,kən'fɔːmɪzəm,n. 因循守旧；盲目因袭的态度
non-conforming,'nɒnkɒnf'ɔːmɪŋ,非相容
conformal,kən'fɔːməl,adj. 共形的；等角的；(地图)以真实形状代表小块地区的
deform,dɪ'fɔːm,vt. 使变形；使畸形 vi. 变形
deformed,dɪ'fɔːmd,adj. 变形的；变丑的；破相了的；畸形的 动词deform的过去式和过去分词.
deformity,dɪ'fɔːməti,n. 畸形；残废
deformation,ˌdiːfɔː'meɪʃn,n. 变形；畸形
deformable,dɪ'fɔːməbl,adj. 可变形的
formidable,'fɔːmɪdəbl,adj. 强大的；可怕的；难对付的
formidably,fə'mɪdəbli,adv. 可怕地；敌不住；强大地
formaldehyde,fɔː'mældɪhaɪd,n. 甲醛
coliform,'kɒlɪfɔːm,n. 大肠杆菌 adj. 大肠杆菌的
total-coliform,'təʊt(ə)l-'kɒlɪfɔːm,n.总大肠菌类
chloroform,'klɒrəfɔːm,n. 氯仿 vt. 用氯仿麻醉或杀人
formalin,'fɔːməlɪn,n. 福尔马林；甲醛溶液
fecal-coliform,'fiːkəl-'kɒlɪfɔːm,n.粪便大肠菌
formica-topped,fɔr'maɪkə-tɒpt,adj.福米加塑料贴面的
cribriform,'krɪbrɪfɔːm,adj. 筛状的；有小孔的
formic,'fɔːmɪk,adj. 蚂蚁的；蚁酸的
cross-informant,krɔs-ɪn'fɔːmənt,pref.横跨；相反；十字形
formant,'fɔːmənt,n. 共振峰

struct|建造
structure,'strʌktʃə(r),n. 结构；构造；建筑物 vt. 构造；建造；组织
structured,'strʌktʃəd,adj. 有组织的；有安排的
structural,'strʌktʃərəl,adj. 结构的；构造的；建筑的；建筑用的
structurally,'strʌktʃərəli,adv. 在结构上(在构造上)
structuralist,'strʌktʃərəlɪst,n. 构造主义者；结构语言学家
substructure,'sʌbstrʌktʃə(r),n. 底部构造；基础
superstructure,'suːpəstrʌktʃə(r),n.  上层建筑； 上层结构；上部构造
structuring,'strʌktʃərɪŋ,n. 结构化 动词structure的现在分词形式.
structuralism,'strʌktʃərəlɪzəm,n. 构造主义；结构主义
unstructured,ʌn'strʌktʃəd,adj. 无组织的；自由的
semi-structured,'semɪstr'ʌktʃəd,半结构化
poststructural,pəʊst-'strʌktʃ(ə)r(ə)l,n.解构
post-structuralist,pəust'strʌktʃərəlizəm,n.后结构主义
well-structured,wel-'strʌktʃəd,adj.结构良好的
non-structural,'nɒnstr'ʌktʃərəl,不用于结构上的
fine-structure,'faɪnstr'ʌktʃər,adj. 精细结构的
microstructure,'maɪkrəʊˌstrʌktʃə,n. 微细构造
microstructural,maɪk'rɒstrʌktʃərəl,adj. 显微结构的
macro-structure,mæk'rəʊstr'ʌktʃər,n. 宏观结构
nanostructure,næ'nɒstrʌktʃər,纳米结构
nanostructured,næ'nɒstrʌktʃəd,纳米结构
social-structural,'səʊʃ(ə)l-'strʌktʃ(ə)r(ə)l,adj.结构的；建筑的
instruct,ɪn'strʌkt,v. 教；命令；指导；[计] 指示
instructor,ɪn'strʌktə(r),n. 教师，教员；讲师；指导书
instruction,ɪn'strʌkʃn,n. 指令；教学；教诲；说明
instructive,ɪn'strʌktɪv,adj. 教育性的；有启发的；有益的
instructional,ɪn'strʌkʃənl,adj. 指导的；教育的；教学的
instructionally,ɪn'strʌkʃənəli,adv.教学性地，指导性地
self-instruction,[self-ɪn'strʌkʃ(ə)n,n.自学；自我指导
self-instructional,'selfɪnstr'ʌkʃnəl,adj. 自我指导的
infrastructure,'ɪnfrəstrʌktʃə(r),n. 基础；基础设施
infrastructural,ˌɪnfrə'strʌktʃərəl,adj. 基础的；基础结构的(尤指社会、国家赖以生存和发展的)
construct,kən'strʌkt,vt. 建造；构筑；造(句) n. 构想
construction,kən'strʌkʃn,n. 建设；结构；建筑物；建造；构造；解释
constructionist,kən'strʌkʃənɪst,n. 法令解释者；宪法解释者
constructor,kən'strʌktə,n. 建造者；制造商；造船技师；构造函数；构造器
constructive,kən'strʌktɪv,adj. 建设性的；构造上的；作图的
constructivist,kən'strʌktɪvɪst,n. 构成主义者 adj. 构成主义者的
constructively,kən'strʌktɪvlɪ,adv. 建设性地；积极地
constructivism,kən'strʌktɪvɪzəm,n. 构成主义
construction-paper,kən'strʌkʃ(ə)n-'peɪpə,n.图画用纸；建筑用纸； [ 纸 ]工作用纸
constructed-response,kən'strʌkt-rɪ'spɒns,n.构答反应
well-constructed,wel-kənˈstrʌkt,adj.结构合理的；构建完好的
reconstruction,ˌriːkən'strʌkʃn,n. 复兴；改造；再建
reconstructionist,ri:kən'strʌkʃənist,(美国内战后)提倡重建的运动
reconstructed,riːkən'strʌktɪd,adj. 重建的；改造的 动词reconstruct的过去式和过去分词形式.
reconstructive,ˌriːkən'strʌktɪv,adj. 再建的；改造的；有益于再建的
unreconstructed,ˌʌnriːkən'strʌktɪd,adj. 未重建的；反对变革的；脑筋转不过来的；旧思想的
deconstruct,ˌdiːkən'strʌkt,v. 解构；拆析
deconstruction,ˌdiːkən'strʌkʃn,n. 解构；拆析(文学评论用语；指找出文本中自身逻辑矛盾或自我拆解因素；从而摧毁文本在人们心目中的传统建构)
deconstructive,dɪ'kən'strʌktɪv,解构主义
deconstructed,ˌdiːkənˈstrʌktɪd,adj.没有形式 结构的
deconstructionism,ˌdɪkən'strʌkʃənɪzm,n. 解构主义
restructure,ˌriː'strʌktʃə(r),v. 重建；重造；改组
restructuring,riː'strʌktʃərɪŋ,n. 重组；结构调整 动词restructure的现在分词.
destruct,dɪs'trʌkt,n. 毁灭；自毁 v. 摧毁；自毁
destructor,dɪs'trʌktə,n. 破坏者；垃圾焚毁炉
destruction,dɪ'strʌkʃn,n. 破坏；毁灭
destructive,dɪ'strʌktɪv,adj. 破坏性的；有害的
destructively,dɪ'strʌktɪvli,adv. 破坏地；狼狈地
destructiveness,dɪ'strʌktɪvnəs,破坏性
destructible,dɪ'strʌktəbl,adj. 可破坏的
indestructible,ˌɪndɪ'strʌktəbl,adj. 不易毁坏的
non-destructive,'nɒndɪstr'ʌktɪv,非破坏性,无损的
self-destruct,'selfdis'trʌkt,v. 自毁；自我毁灭 v. 消失；失踪
self-destructive,selfdi'strʌktiv,a. 自毁的; 自灭的
self-destructing,'selfdis'trʌktɪŋ,adj.自毁的；自杀的
self-destructiveness,'selfdɪs'trʌktɪvnɪs,n.破坏性；毁灭性；破坏能力
obstruct,əb'strʌkt,v. 阻隔；妨碍；阻塞
obstructed,əb'strʌktɪd,adj. 阻塞的 动词obstruct的过去式和过去分词形式.
obstruction,əb'strʌkʃn,n. 障碍；妨碍；闭塞；违例阻挡
obstructionism,əb'strʌkʃənɪzəm,n. 妨碍议程的手段；蓄意阻挠
obstructive,əb'strʌktɪv,adj. 阻碍的；妨碍的；阻塞性的 n. 妨碍物；障碍
obstructionist,əb'strʌkʃənɪst,n. 妨碍者 adj. 蓄意阻挠（者）的
unobstructed,'ʌnəb'strʌktɪd,adj. 无阻碍的；没有阻挡的

od|路
method,'meθəd,n. 方法；条理 n. 类函数；类成员函数（计算机）
methodical,mə'θɒdɪkl,adj. 有条不紊的；井然的
methodology,ˌmeθə'dɒlədʒi,n. 方法学；一套方法
methodological,ˌmeθədə'lɒdʒɪkl,adj. 方法的；方法论的
methodologically,ˌmeθə'dɒlədʒi,n. 方法学；一套方法
methodist,'meθədɪst,n. 照章办事者 Methodist：卫理公会派教徒. adj. 卫理公会教派的
period,'pɪəriəd,n. 一段时间；周期；时期；课时；学时；句号；月经
periodic,ˌpɪəri'ɒdɪk,adj. 周期的；定期的；间歇的；完句的
periodical,ˌpɪəri'ɒdɪkl,n. 期刊 adj. 定期的
periodically,ˌpɪəri'ɒdɪkli,adv. 周期性地；定期地
periodicity,ˌpɪərɪə'dɪsɪtɪ,n. 周期性；周期数
odograph,'əʊdəgrɑːf,n. 里程表(自动计程仪；计步器；测距仪)
odometer,əʊ'dɒmɪtə(r),n. 里程表
exodus,'eksədəs,n. 大批的离去 Exodus：（《圣经&#183;旧约》中的）出埃及记.
periodontal,ˌperiə'dɒntl,adj. 牙周的；齿根膜的
periodontist,pɪərɪə'dɒntɪst,n. 牙周病学家；牙周病医师
periodontitis,ˌperiədɒn'taɪtɪs,牙周炎
periodize,'pɪərɪədaɪz,vt. 把(绘画、音乐、文学等)划分时期(或时代) vi. 划分时期(或时代)
periodization,pɪərɪədaɪ'zeɪʃən,n. 周期化
long-period,'lɒŋp'iəriəd,长期
short-period,'ʃɔːtp'iəriəd,短周期的,短寿命的

bar,bal,ban|长木条，障碍
embarrass,ɪm'bærəs,vt. 使窘迫；使尴尬；使为难 vi. 窘迫
embarrassment,ɪm'bærəsmənt,n. 困窘；尴尬；难堪
embarrassed,ɪm'bærəst,adj. 尴尬的；拮据的；局促不安的
unembarrassed,ʌnɪm'bærəst,adj. 不尴尬的
embarrassing,ɪm'bærəsɪŋ,adj. 令人为难的；尴尬的
embarrassingly,ɪm'bærəsɪŋli,adv. 令人为难地(麻烦地)
bar,bɑː(r),n. 酒吧；条；横木；栅 vt. 禁止；阻挠；闩上；在 ... 设栅栏
barrier,'bæriə(r),n. 栅栏；障碍物；屏障
barrier-free,'bæriərfr'iː,无障碍
balance,'bæləns,n. 平衡；天平；平静；结余；差额；调和；制衡 vt. 权衡；使平衡；抵消；称重量 vi. 均衡；建立平衡
balancing,'bælənsɪŋ,n. 平衡；定零装置；平差 动词balance的现在分词.
unbalanced,ˌʌn'bælənst,adj. 精神失常的；失衡的；偏颇的 动词unbalance的过去式和过去分词.
well-balanced,'wel'bælənst,adj. 均衡的；神智健全的
off-balance,'ɔːfb'æləns,倾倒
unbalance,ˌʌn'bæləns,v. 使失衡；使精神紊乱 n. 失衡
counterbalance,ˌkaʊntə'bæləns,n. 平衡；平衡力 v. 抵销；使平衡
balancer,'bælənsə,n. 秤称的人；平衡器；走绳索者
imbalanced,ɪm'bæləns,n. 不平衡；失调
overbalance,ˌəʊvə'bæləns,vt. 使失去平衡；重于 vi. 摔倒，倾翻；失去平衡 n. 失去平衡；超重
abandon,ə'bændən,v. 放弃；抛弃；放纵 n. 放纵
abandoned,ə'bændənd,adj. 被抛弃的；无约束的 动词abandon的过去式和过去分词.
abandonment,ə'bændənmənt,n. 放弃；自暴自弃；放纵
ban,bæn,v. 禁止；剥夺权利 n. 禁令；禁止
banner,'bænə(r),n. 横幅；旗帜；大标题 adj. 杰出的；特别好的 vt. 用横幅装饰；以大标题报道
banquet,'bæŋkwɪt,n. 宴会 vi. 参加宴会 vt. 宴请；设宴
broadband,'brɔːdbænd,n. 宽频带；宽带 adj. 宽频带的
barracks,'bærəks,n. 兵营；营房；不雅观的大建筑物 名词barrack的复数形式.
unbar,'ʌn'bɑː,v. 拔去横木；拔去门闩；打开；扫除障碍
barred,bɑːd,adj. 被禁止的；受阻的；有条纹的 动词bar的过去式和过去分词形式.
no-holds-barred,'nəʊh'əʊldzb'ɑːd,adj. 没有过多限制的
barricade,ˌbærɪ'keɪd,n. 【C】路障；街垒；障碍物；栅栏 n. (常用复数形式)barricades:有激烈争论的领域或议题 vt. 设路障挡住；阻拦；封锁
barrel,'bærəl,n. 桶；枪管；一桶的量；炮管；大量；笔管；汽油桶 vi. 快速移动 vt. 把 ... 装桶
barreled,'bærəld,v. 装桶(磨研；高速行驶) adj. 桶装的(装了筒的)
embargo,ɪm'bɑːɡəʊ,n. 封港令；禁运；禁止（通商）
bartender,'bɑːtendə(r),n. 酒保
barren,'bærən,adj. 贫瘠的；无效的；不育的 n. 荒地
barrage,'bærɑːʒ,n. 弹幕；掩护炮火 n. 拦河坝 vt. 以密集火力进攻
sidebar,'saɪdbɑː(r),n. 补充报道；花絮新闻；法官与即将受审案件的律师间的会晤
barring,'bɑːrɪŋ,prep. 除 ... 以外 动词bar的现在分词形式
sandbar,'sændbɑː(r),n. 沙洲
barbell,'bɑːbel,n. 杠铃(一种举重用的运动器械)
crowbar,'krəʊbɑː(r),n. 撬棍
barroom,'bɑːruːm,n. 酒吧间
toolbar,'tuːlbɑː(r),n. 工具条(栏)
barrette,bæ'ret,n. 条状发夹
barstool,bɑːs'tuːl,酒吧高脚凳
crossbar,'krɒsbɑː(r),n. 横杆；(足球门上的)横木；(自行车架上的)横梁
barmaid,'bɑːmeɪd,n. 酒吧女招待；酒吧女服务员
barrister,'bærɪstə(r),n. 出庭律师(在英国有资格出席高等法院进行辩护)
pork-barrel,pɔːk-'bær(ə)l,政治拨款的
barman,'bɑːmən,n. 酒吧间男招待
minibar,'mɪnibɑː(r),小型条信号(发生器)；小酒柜；小吧台
barrel-chested,'bærəl-tʃestid,胸部发达的
double-barreled,'dʌblb'ærəld,adj. 双管的(枪)；双筒的(望远镜)
barrenness,'bærənnəs,n. 不毛；不孕
taskbar,'tæskbɑːr,n. 任务栏；任务条
barkeep,bɑː'kiːp,n. 酒吧店主；酒保
disbarment,dɪs'bɑːment,n. 取消律师资格
bar-code,'bɑːrk'əʊd,adj. 条码
T-bar,'ti:bɑ:,n. 丁字钢(T型钢)
four-bar,fɔː-bɑː,n.四连杆组
barre,baː,n. 扶手；把杆
barista,bə'riːstə,n. 咖啡师
bar-coded,'bɑ:kəud,n.条形码vt.给 … 印（或标）上条形码
balk,bɔːk,v. 阻止；突然停止；退缩；拒绝 n. 障碍；错误；失败 n. 梁木 [棒球]佯投； 犯规动作； [游戏]开球区.
balky,'bɔːlki,adj. 停蹄不前的；突然停止的；难以启动的；固执的
